tracker_type,item,owner,priority,status,due_date,notes
artifact,Solr schema or managed schema,,P0,requested,,"Per relevant collection"
artifact,Solr solrconfig.xml,,P0,requested,,"Per relevant collection"
artifact,SolrCloud topology or cluster status,,P0,requested,,"Need shard and replica picture"
artifact,Drupal module list,,P0,requested,,"Search-related modules especially important"
artifact,Drupal Search API config export,,P0,requested,,"Server and index configuration"
artifact,Query logs or analytics export,,P0,requested,,"Need baseline evidence"
artifact,Synonym stopword and protected word files,,P0,requested,,"If applicable"
artifact,Sample documents by content type,,P1,requested,,"Need representative docs"
artifact,Architecture diagram,,P1,requested,,"Drupal to Solr and source systems"
artifact,Custom search-related code references,,P1,requested,,"Indexing or query shaping"
artifact,Current infrastructure sizing,,P1,requested,,"Nodes memory disk IOPS"
artifact,Incident history involving search,,P2,requested,,"Useful for risk posture"
artifact,UAT or acceptance checklist,,P2,requested,,"Useful for downstream sign-off"
artifact,Peak-season and blackout windows,,P2,requested,,"Important for cutover planning"
role,Sponsor or stakeholder,,P0,unknown,,"Defines success and funding"
role,Product owner,,P0,unknown,,"Defines critical search behavior"
role,Drupal application lead,,P0,unknown,,"Owns Drupal-side implementation reality"
role,Content owner,,P0,unknown,,"Critical path for access and scope"
role,Search relevance owner,,P0,unknown,,"Needed for parity and quality decisions"
role,Solr platform owner,,P0,unknown,,"Owns current topology and history"
role,Platform Ops or SRE owner,,P0,unknown,,"Owns production readiness"
role,Security or compliance owner,,P1,unknown,,"Needed early for enterprise reviews"
role,QA or acceptance owner,,P1,unknown,,"Needed for evidence-based sign-off"
question,Is the platform definitely SolrCloud?,,P0,open,,"Core topology question"
question,What does the 1 TB number represent?,,P0,open,,"Index size raw data or total estate"
question,Does Drupal fully own indexing?,,P0,open,,"Search API vs external pipelines"
question,Can the index be rebuilt from source systems?,,P0,open,,"Critical migration posture question"
question,Are there custom Solr plugins or request handlers?,,P0,open,,"May force redesign"
question,Are there direct Solr consumers outside Drupal?,,P1,open,,"Hidden dependencies"
question,What are the top 5 to 10 critical query patterns?,,P1,open,,"Needed for validation scope"
question,How is access control enforced in search?,,P1,open,,"DLS style risk if unclear"
